2024-07-09 10:51:08 - HV000001: Hibernate Validator 8.0.1.Final
2024-07-09 10:51:11 - Adding type registration org.hibernate.type.OffsetDateTimeType -> basicType@2(java.time.OffsetDateTime,3003)
2024-07-09 10:51:11 - Adding type registration OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
2024-07-09 10:51:11 - Adding type registration java.time.OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
2024-07-09 10:51:11 - Adding type registration org.hibernate.type.ZonedDateTimeType -> basicType@3(java.time.ZonedDateTime,3003)
2024-07-09 10:51:11 - Adding type registration ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
2024-07-09 10:51:11 - Adding type registration java.time.ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
2024-07-09 10:51:11 - Adding type registration org.hibernate.type.OffsetTimeType -> basicType@4(java.time.OffsetTime,3007)
2024-07-09 10:51:11 - Adding type registration OffsetTime -> basicType@4(java.time.OffsetTime,3007)
2024-07-09 10:51:11 - Adding type registration java.time.OffsetTime -> basicType@4(java.time.OffsetTime,3007)
2024-07-09 10:51:11 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@75e30472] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@17e12f23]
2024-07-09 10:51:12 - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-07-09 10:51:12 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@75e30472] to SessionFactoryImplementor [org.hibernate.internal.SessionFactoryImpl@17173e5b]
2024-07-09 10:51:12 - Handling #sessionFactoryCreated from [org.hibernate.internal.SessionFactoryImpl@17173e5b] for TypeConfiguration
2024-07-09 10:51:12 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-07-09 10:51:13 - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-07-09 10:51:13 - No authentication manager set. Reauthentication of users when changing passwords will not be performed.
